"ID","Id_Region","Id_Cap","Nome","Id_Director","Stato","DataCore","DataCap","ConfDataCore","ConfDataCap","MembriIni","appT2","appT3","appT4","appR","MemLancio","MemLancioRes"
"283","11","11","BNI - QUAZAR 2.0","141","CAPITOLO","2018-11","2018-12","1","1","40","a","n","n","a","0","0"
"284","11","12","BNI - RESEGONE","70","CAPITOLO","2018-11","2018-12","1","1","41","a","n","n","a","0","0"
"285","11","13","BNI - SONDRIO","70","CAPITOLO","2018-11","2018-12","1","1","33","a","n","n","a","0","0"
"286","11","14","BNI - VALCHIAVENNA","163","CAPITOLO","2018-11","2018-12","1","1","36","a","n","n","a","0","0"
"287","11","15","BNI - VELTELLINA","155","CAPITOLO","2018-11","2018-12","1","1","50","a","n","n","a","0","0"
"288","11","16","BNI - VOLTA","138","CAPITOLO","2018-11","2018-12","1","1","35","a","n","n","a","0","0"
"289","11","17","BNI - ALTA BRIANZA","138","CAPITOLO","2018-11","2019-01","1","1","24","a","n","n","a","25","25"
"290","11","18","BNI - VALSASSINA","160","CORE GROUP","2018-11","2020-05","1","0","13","a","n","n","a","0","0"
"291","13","1","BNI - MORONI","120","CAPITOLO","2018-11","2018-12","1","1","28","a","a","n","a","0","0"
"292","13","2","BNI - FRANCESCO NULLO","115","CAPITOLO","2018-11","2018-12","1","1","26","a","a","n","a","0","0"
"293","13","3","BNI - GIULIO NATTA","115","CAPITOLO","2018-11","2018-12","1","1","35","a","a","n","a","0","0"
"294","13","4","BNI - MANZÙ","16","CAPITOLO","2018-11","2018-12","1","1","34","a","a","n","a","0","0"
"295","13","5","BNI - SANTA CATERINA","16","CAPITOLO","2018-11","2018-12","1","1","21","a","a","n","a","0","0"
"296","13","6","BNI - OLMI","118","CAPITOLO","2018-11","2018-12","1","1","19","a","a","n","a","0","0"
"297","13","7","BNI - BARTOLOMEO COLLEONI","120","CAPITOLO","2018-11","2019-04","1","1","18","a","a","n","a","30","30"
"298","13","8","BNI - ARLECCHINO DI ALMÈ","120","CAPITOLO","2019-01","2019-12","1","1","0","a","a","n","a","36","36"
"299","13","9","BNI - QUARENGHI DI CURNO","119","CAPITOLO","2019-01",,"1","0","0","a","a","n","a","0","0"
"300","13","10","BNI - ISOLA","116","CAPITOLO","2019-01","2019-12","1","1","0","a","a","n","a","30","30"
"301","25","1","BNI - FLAIANO","28","CAPITOLO","2018-11","2018-12","1","1","20","a","n","n","a","0","0"
"302","25","2","BNI - INTERAMNIA","28","CAPITOLO","2018-11","2018-12","1","1","24","a","n","n","a","0","0"
"303","25","3","BNI - METROPOLITAN","28","CAPITOLO","2018-11","2018-12","1","1","30","a","n","n","a","0","0"
"304","25","4","BNI - SUPERNOVA","28","CAPITOLO","2018-11","2018-12","1","1","24","a","n","n","a","0","0"
"305","25","5","BNI - ARGENTUM","28","CAPITOLO","2019-01","2019-04","1","1","0","a","n","n","a","27","27"
"306","25","6","BNI - NEWCO 1 FRA","28","CORE GROUP","2019-12",,"1","0","0","n","n","n","n","0","0"
"307","25","7","BNI - NEWCO 1 SABA","28","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"308","25","8","BNI - luminosa Cafasso","221","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"309","26","1","BNI - A PRANZO CON GUSTO","59","CAPITOLO","2018-11","2018-12","1","1","21","a","n","n","a","0","0"
"310","26","2","BNI - FORUM","62","CAPITOLO","2018-11","2018-12","1","1","38","a","n","n","a","0","0"
"311","26","3","BNI - FRECCIA ROSSA","59","CAPITOLO","2018-11","2018-12","1","1","18","a","n","n","a","0","0"
"312","26","4","BNI - ISOLA SACRA","66","CAPITOLO","2018-11","2018-12","1","1","19","a","n","n","a","0","0"
"313","26","5","BNI - MAZZINI","64","CAPITOLO","2018-11","2018-12","1","1","18","a","n","n","a","0","0"
"314","26","6","BNI - ORA DI PRANZO","59","CAPITOLO","2018-11","2018-12","1","1","23","a","n","n","a","0","0"
"315","26","7","BNI - PARIOLI","29","CAPITOLO","2018-11","2018-12","1","1","21","a","n","n","a","0","0"
"316","26","8","BNI - PONTE MILVIO","60","CAPITOLO","2018-11","2018-12","1","1","18","a","n","n","a","0","0"
"317","26","9","BNI - PRATI","29","CAPITOLO","2018-11","2018-12","1","1","26","a","n","n","a","0","0"
"318","26","10","BNI - RAFFAELE RICCO","69","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"319","26","11","BNI - REGAL","72","CAPITOLO","2018-11","2018-12","1","1","19","a","n","n","a","0","0"
"320","26","12","BNI - SALARIO TRIESTE","59","CAPITOLO","2018-11","2018-12","1","1","36","a","n","n","a","0","0"
"321","26","13","BNI - PIAZZA BOLOGNA","59","CAPITOLO","2018-11","2019-09","1","1","13","a","n","n","a","24","24"
"322","26","14","BNI - AURELIUS","60","CAPITOLO","2019-01","2019-10","1","1","0","a","n","n","a","19","19"
"323","26","15","BNI - ROMA BUSINESS LUNCH","62","CORE GROUP","2018-11","2020-06","1","0","1","a","n","n","a","0","0"
"324","26","16","BNI - LADISPOLI","62","CORE GROUP","2018-11",,"1","0","8","a","n","n","a","0","0"
"325","26","17","BNI - TEVERE","66","CORE GROUP","2019-04",,"1","0","0","a","n","n","a","0","0"
"326","26","18","BNI - JOLLY","64","CORE GROUP","2019-06",,"1","0","0","a","n","n","a","0","0"
"327","26","19","BNI - BLOCKCHAIN","75","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"328","28","1","BNI - PROMETEUS PERUGIA","214","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"329","28","2","BNI - ASSISI IL CANTICO","213","CAPITOLO","2018-11","2018-12","1","1","25","a","n","n","a","0","0"
"330","28","3","BNI - DUE MONDI SPOLETO","213","CAPITOLO","2019-04","2019-12","1","1","0","a","n","n","a","27","27"
